2019-11-27 09:39:01 configure libc6:armhf 2.29-0ubuntu2 <none>
2019-11-27 09:39:01 status unpacked libc6:armhf 2.29-0ubuntu2
2019-11-27 09:39:01 status half-configured libc6:armhf 2.29-0ubuntu2
2019-11-27 09:39:01 status installed libc6:armhf 2.29-0ubuntu2
2019-11-27 09:39:01 configure libudev1:armhf 240-6ubuntu5 <none>
2019-11-27 09:39:01 status unpacked libudev1:armhf 240-6ubuntu5
2019-11-27 09:39:01 status half-configured libudev1:armhf 240-6ubuntu5
2019-11-27 09:39:01 status installed libudev1:armhf 240-6ubuntu5
2019-11-27 09:39:01 configure libsepol1:armhf 2.8-1 <none>
2019-11-27 09:39:01 status unpacked libsepol1:armhf 2.8-1
2019-11-27 09:39:01 status half-configured libsepol1:armhf 2.8-1
2019-11-27 09:39:01 status installed libsepol1:armhf 2.8-1
2019-11-27 09:39:01 configure libattr1:armhf 1:2.4.48-4 <none>
2019-11-27 09:39:01 status unpacked libattr1:armhf 1:2.4.48-4
2019-11-27 09:39:01 status half-configured libattr1:armhf 1:2.4.48-4
2019-11-27 09:39:01 status installed libattr1:armhf 1:2.4.48-4
2019-11-27 09:39:01 configure debianutils:armhf 4.8.6.1 <none>
2019-11-27 09:39:01 status unpacked debianutils:armhf 4.8.6.1
2019-11-27 09:39:01 status half-configured debianutils:armhf 4.8.6.1
2019-11-27 09:39:01 status installed debianutils:armhf 4.8.6.1
2019-11-27 09:39:01 configure mawk:armhf 1.3.3-17ubuntu3 <none>
2019-11-27 09:39:01 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:39:01 status half-configured mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:39:01 status installed mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:39:01 configure libdebconfclient0:armhf 0.247ubuntu1 <none>
2019-11-27 09:39:01 status unpacked libdebconfclient0:armhf 0.247ubuntu1
2019-11-27 09:39:01 status half-configured libdebconfclient0:armhf 0.247ubuntu1
2019-11-27 09:39:01 status installed libdebconfclient0:armhf 0.247ubuntu1
2019-11-27 09:39:01 configure base-files:armhf 10.1ubuntu9 <none>
2019-11-27 09:39:01 status unpacked base-files:armhf 10.1ubuntu9
2019-11-27 09:39:01 status half-configured base-files:armhf 10.1ubuntu9
2019-11-27 09:39:01 status installed base-files:armhf 10.1ubuntu9
2019-11-27 09:39:01 configure libbz2-1.0:armhf 1.0.6-9 <none>
2019-11-27 09:39:01 status unpacked libbz2-1.0:armhf 1.0.6-9
2019-11-27 09:39:01 status half-configured libbz2-1.0:armhf 1.0.6-9
2019-11-27 09:39:01 status installed libbz2-1.0:armhf 1.0.6-9
2019-11-27 09:39:01 configure base-passwd:armhf 3.5.46 <none>
2019-11-27 09:39:01 status unpacked base-passwd:armhf 3.5.46
2019-11-27 09:39:02 status half-configured base-passwd:armhf 3.5.46
2019-11-27 09:39:02 status installed base-passwd:armhf 3.5.46
2019-11-27 09:39:02 configure libdb5.3:armhf 5.3.28+dfsg1-0.5 <none>
2019-11-27 09:39:02 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-11-27 09:39:02 status half-configured libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-11-27 09:39:02 status installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-11-27 09:39:02 configure libtinfo6:armhf 6.1+20181013-2ubuntu2 <none>
2019-11-27 09:39:02 status unpacked libtinfo6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:39:02 status half-configured libtinfo6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:39:02 status installed libtinfo6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:39:02 configure bash:armhf 5.0-3ubuntu1 <none>
2019-11-27 09:39:02 status unpacked bash:armhf 5.0-3ubuntu1
2019-11-27 09:39:02 status half-configured bash:armhf 5.0-3ubuntu1
2019-11-27 09:39:02 status installed bash:armhf 5.0-3ubuntu1
2019-11-27 09:39:02 configure libzstd1:armhf 1.3.8+dfsg-3 <none>
2019-11-27 09:39:02 status unpacked libzstd1:armhf 1.3.8+dfsg-3
2019-11-27 09:39:02 status half-configured libzstd1:armhf 1.3.8+dfsg-3
2019-11-27 09:39:02 status installed libzstd1:armhf 1.3.8+dfsg-3
2019-11-27 09:39:02 configure liblzma5:armhf 5.2.4-1 <none>
2019-11-27 09:39:02 status unpacked liblzma5:armhf 5.2.4-1
2019-11-27 09:39:02 status half-configured liblzma5:armhf 5.2.4-1
2019-11-27 09:39:02 status installed liblzma5:armhf 5.2.4-1
2019-11-27 09:39:02 configure libgpg-error0:armhf 1.35-1 <none>
2019-11-27 09:39:02 status unpacked libgpg-error0:armhf 1.35-1
2019-11-27 09:39:02 status half-configured libgpg-error0:armhf 1.35-1
2019-11-27 09:39:02 status installed libgpg-error0:armhf 1.35-1
2019-11-27 09:39:02 configure libgcc1:armhf 1:9-20190402-1ubuntu1 <none>
